         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 six.py:75(_add_doc)
        2    0.000    0.000    0.075    0.037 ssl.py:410(wrap_socket)
        1    0.000    0.000    0.000    0.000 ssl.py:390(SSLContext)
        2    0.000    0.000    0.001    0.000 connectionpool.py:873(__init__)
        1    0.000    0.000    0.000    0.000 rrule.py:1305(rruleset)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1185(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        7    0.000    0.000    0.000    0.000 rrule.py:69(__init__)
        3    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        3    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        2    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       11    0.000    0.000    0.000    0.000 typing.py:545(<genexpr>)
        8    0.000    0.000    0.000    0.000 typing.py:827(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:1595(TextIO)
        1    0.000    0.000    0.000    0.000 gzip.py:110(GzipFile)
        5    0.000    0.000    0.000    0.000 cookies.py:521(<listcomp>)
        1    0.000    0.000    0.000    0.000 request.py:1665(URLopener)
        1    0.000    0.000    0.000    0.000 zipfile.py:1182(ZipFile)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:28(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:707(<lambda>)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:34(MultiByteCharSetProber)
        2    0.000    0.000    0.001    0.000 poolmanager.py:162(<lambda>)
        4    0.000    0.000    0.001    0.000 poolmanager.py:204(clear)
        2    0.000    0.000    0.000    0.000 url.py:320(_encode_target)
        2    0.000    0.000    0.000    0.000 _collections.py:53(__getitem__)
        2    0.000    0.000    0.000    0.000 client.py:944(close)
        2    0.000    0.000    0.000    0.000 connectionpool.py:237(_get_conn)
        3    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 tzfile.py:4(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
        1    0.000    0.000    0.000    0.000 __init__.py:391(_FixedOffset)
        1    0.000    0.000    0.001    0.001 caselessdict.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       10    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f8f2757aef0}
        2    0.000    0.000    0.000    0.000 {built-in method _socket.inet_aton}
       10    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        6    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 pref_service.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        1    0.000    0.000    0.000    0.000 url.py:4(<module>)
        1    0.000    0.000    0.000    0.000 objects.py:425(Calendar)
        1    0.000    0.000    0.000    0.000 inspect.py:2720(Signature)
        1    0.000    0.000    0.000    0.000 auth.py:278(__call__)
        1    0.000    0.000    0.000    0.000 sessions.py:337(Session)
        6    0.000    0.000    0.000    0.000 python_utilities.py:29(to_unicode)
        1    0.000    0.000    0.000    0.000 structures.py:8(<module>)
        1    0.000    0.000    0.000    0.000 models.py:730(iter_content)
        1    0.000    0.000    0.000    0.000 cookies.py:253(Morsel)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:570(unquote_unreserved)
        1    0.000    0.000    0.000    0.000 euckrprober.py:34(EUCKRProber)
        1    0.000    0.000    0.000    0.000 enums.py:5(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        5    0.000    0.000    0.000    0.000 retry.py:196(<listcomp>)
       10    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
        2    0.000    0.000    0.000    0.000 parse.py:855(urlencode)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        3    0.000    0.000    0.000    0.000 six.py:155(_resolve)
       14    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
        2    0.000    0.000    0.000    0.000 socket.py:422(detach)
        2    0.000    0.000    0.000    0.000 socket.py:432(family)
        4    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.000    0.000 threading.py:204(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:513(set)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 win.py:8(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        1    0.000    0.000    0.000    0.000 cal.py:34(__init__)
        1    0.000    0.000    0.000    0.000 six.py:477(Module_six_moves_urllib)
        1    0.000    0.000    0.000    0.000 tempfile.py:916(TemporaryDirectory)
        5    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        3    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        3    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 base.py:16(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:664(__hash__)
        5    0.000    0.000    0.000    0.000 typing.py:680(__mro_entries__)
        1    0.000    0.000    0.000    0.000 typing.py:594(_GenericAlias)
        2    0.000    0.000    0.000    0.000 typing.py:1339(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:1418(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:1581(BinaryIO)
        3    0.000    0.000    0.000    0.000 url.py:104(__unicode__)
        1    0.000    0.000    0.000    0.000 url.py:21(URL)
        1    0.000    0.000    0.000    0.000 base.py:273(ContentLine)
        1    0.000    0.000    0.000    0.000 hooks.py:23(dispatch_hook)
        1    0.000    0.000    0.000    0.000 auth.py:117(init_per_thread_state)
        1    0.000    0.000    0.000    0.000 structures.py:92(__init__)
        2    0.000    0.000    0.000    0.000 models.py:61(path_url)
        2    0.000    0.000    0.000    0.000 models.py:291(__init__)
        2    0.000    0.000    0.000    0.000 models.py:340(prepare_method)
        2    0.000    0.000    0.000    0.000 models.py:557(prepare_cookies)
        1    0.000    0.000    0.000    0.000 models.py:272(PreparedRequest)
        1    0.000    0.000    0.000    0.000 cookies.py:25(MockRequest)
        1    0.000    0.000    0.000    0.000 cookies.py:171(RequestsCookieJar)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.040    0.040 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.000    0.000 request.py:433(OpenerDirector)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:30(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:140(__init__)
        6    0.000    0.000    0.000    0.000 request.py:41(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:267(set_cert)
        1    0.000    0.000    0.000    0.000 hmac.py:26(HMAC)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        3    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        4    0.000    0.000    0.000    0.000 parse.py:146(username)
        4    0.000    0.000    0.000    0.000 parse.py:178(_userinfo)
        1    0.000    0.000    0.000    0.000 parse.py:348(_fix_result_transcoding)
        2    0.000    0.000    0.001    0.000 client.py:1249(request)
        1    0.000    0.000    0.000    0.000 client.py:789(HTTPConnection)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        4    0.000    0.000    0.027    0.007 six.py:112(_resolve)
        8    0.000    0.000    0.000    0.000 six.py:185(__get_module)
        2    0.000    0.000    0.000    0.000 ssl.py:398(__new__)
        2    0.000    0.000    0.000    0.000 ssl.py:402(_encode_hostname)
        2    0.000    0.000    0.000    0.000 ssl.py:512(options)
        2    0.000    0.000    0.000    0.000 ssl.py:516(options)
        2    0.000    0.000    0.000    0.000 connectionpool.py:73(__init__)
        2    0.000    0.000    0.000    0.000 connectionpool.py:922(_prepare_conn)
        3    0.000    0.000    0.000    0.000 socket.py:416(close)
        1    0.000    0.000    0.349    0.349 davclient.py:109(principal)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 threading.py:567(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:899(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 cal.py:60(Component)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:50(append)
        1    0.000    0.000    0.000    0.000 uuid.py:63(SafeUUID)
        1    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.000    0.000 typing.py:293(_SpecialForm)
        1    0.000    0.000    0.000    0.000 typing.py:621(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:1301(SupportsComplex)
        1    0.000    0.000    0.000    0.000 inspect.py:2407(_ParameterKind)
        1    0.000    0.000    0.000    0.000 auth.py:111(__init__)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.003    0.003 api.py:11(<module>)
        2    0.000    0.000    0.001    0.001 sessions.py:420(__exit__)
        2    0.000    0.000    0.000    0.000 models.py:816(content)
        1    0.000    0.000    0.000    0.000 models.py:587(Response)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1291(_cookie_attrs)
        1    0.000    0.000    0.000    0.000 request.py:2363(ftpwrapper)
        2    0.000    0.000    0.001    0.001 request.py:2489(proxy_bypass_environment)
        1    0.000    0.000    0.000    0.000 response.py:37(addclosehook)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.001    0.001 pyopenssl.py:43(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:228(extract_zipped_paths)
        2    0.000    0.000    0.003    0.001 utils.py:760(get_environ_proxies)
        1    0.000    0.000    0.000    0.000 response.py:543(stream)
        1    0.000    0.000    0.000    0.000 queue.py:10(LifoQueue)
        1    0.000    0.000    0.000    0.000 retry.py:29(Retry)
        1    0.000    0.000    0.000    0.000 connection.py:68(HTTPConnection)
        1    0.000    0.000    0.000    0.000 response.py:38(assert_header_parsing)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 client.py:446(read)
        2    0.000    0.000    0.000    0.000 client.py:1200(_validate_path)
        2    0.000    0.000    0.000    0.000 client.py:1236(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1368(HTTPSConnection)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        5    0.000    0.000    0.000    0.000 six.py:177(_get_module)
        1    0.000    0.000    0.000    0.000 six.py:160(_SixMetaPathImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        2    0.000    0.000    0.000    0.000 connectionpool.py:276(_put_conn)
        2    0.000    0.000    0.000    0.000 connectionpool.py:1036(_normalize_host)
        4    0.000    0.000    0.000    0.000 socket.py:614(readable)
        2    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 rrule.py:1110(_iterinfo)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
        1    0.000    0.000    0.000    0.000 windows_to_olson.py:10(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:51(b64encode)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        1    0.000    0.000    0.000    0.000 tz.py:328(_ttinfo)
        1    0.000    0.000    0.000    0.000 parser_tools.py:2(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        1    0.000    0.000    0.000    0.000 tz.py:1036(tzstr)
        1    0.000    0.000    0.000    0.000 tz.py:1470(__get_gettz)
        1    0.000    0.000    0.000    0.000 event.py:9(Event)
        2    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        2    0.000    0.000    0.000    0.000 re.py:252(escape)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        3    0.000    0.000    0.000    0.000 abc.py:130(register)
        2    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        6    0.000    0.000    0.000    0.000 {method 'count' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        6    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 vcard.py:20(Name)
        5    0.000    0.000    0.000    0.000 typing.py:313(__init__)
        1    0.000    0.000    0.000    0.000 icalendar.py:93(TimezoneComponent)
        1    0.000    0.000    0.000    0.000 icalendar.py:921(VCalendar2_0)
        1    0.000    0.000    0.000    0.000 icalendar.py:1470(Trigger)
        4    0.000    0.000    0.000    0.000 icalendar.py:1588(<lambda>)
        4    0.000    0.000    0.000    0.000 icalendar.py:1591(<lambda>)
        1    0.000    0.000    0.000    0.000 behavior.py:1(<module>)
        1    0.000    0.000    0.349    0.349 objects.py:207(get_properties)
        1    0.000    0.000    0.000    0.000 objects.py:38(DAVObject)
        1    0.000    0.000    0.000    0.000 auth.py:234(handle_401)
        2    0.000    0.000    0.000    0.000 python_utilities.py:9(to_wire)
        4    0.000    0.000    0.000    0.000 structures.py:62(__len__)
        2    0.000    0.000    0.000    0.000 models.py:708(is_redirect)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
        1    0.000    0.000    0.000    0.000 request.py:1444(FileHandler)
        1    0.000    0.000    0.000    0.000 core.py:12(where)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:128(HebrewProber)
        1    0.000    0.000    0.000    0.000 jpcntx.py:31(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 url.py:54(<listcomp>)
        2    0.000    0.000    0.000    0.000 timeout.py:155(from_float)
        1    0.000    0.000    0.000    0.000 _collections.py:106(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 queue.py:255(_PySimpleQueue)
        2    0.000    0.000    0.000    0.000 parse.py:394(_checknetloc)
        1    0.000    0.000    0.000    0.000 ssl.py:383(Purpose)
        4    0.000    0.000    0.000    0.000 ssl.py:557(verify_mode)
        1    0.000    0.000    0.000    0.000 connectionpool.py:103(HTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 cal_service.py:12(CalRemote)
        1    0.000    0.000    0.348    0.348 davclient.py:120(propfind)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        7    0.000    0.000    0.000    0.000 _common.py:9(__init__)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
        1    0.000    0.000    0.000    0.000 threading.py:358(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:1153(Timer)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        1    0.000    0.000    0.000    0.000 tz.py:1167(_tzicalvtz)
        5    0.000    0.000    0.000    0.000 six.py:181(_get_module)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 prop.py:158(vBoolean)
        1    0.000    0.000    0.000    0.000 prop.py:201(vFloat)
        1    0.000    0.000    0.000    0.000 prop.py:499(vPeriod)
        1    0.000    0.000    0.000    0.000 prop.py:638(vRecur)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:288(seek)
        1    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 {built-in method _socket.inet_pton}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
        4    0.000    0.000    0.000    0.000 {method 'seek' of '_io.StringIO' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 {method 'update' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 pref_service.py:28(get_preferences)
        1    0.000    0.000    0.349    0.349 singleton.py:20(instance)
        1    0.000    0.000    0.000    0.000 vcal.py:5(<module>)
        2    0.000    0.000    0.000    0.000 base.py:26(__add__)
        1    0.000    0.000    0.000    0.000 cdav.py:63(TextMatch)
        5    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:279(__init_subclass__)
        1    0.000    0.000    0.000    0.000 typing.py:1283(SupportsInt)
        1    0.000    0.000    0.000    0.000 behavior.py:5(Behavior)
        2    0.000    0.000    0.000    0.000 url.py:50(__init__)
        2    0.000    0.000    0.000    0.000 url.py:78(objectify)
        1    0.000    0.000    0.000    0.000 objects.py:868(CalendarObjectResource)
        6    0.000    0.000    0.000    0.000 hooks.py:18(<dictcomp>)
        2    0.000    0.000    0.000    0.000 sessions.py:81(merge_hooks)
        1    0.000    0.000    0.000    0.000 sessions.py:144(resolve_redirects)
        4    0.000    0.000    0.000    0.000 adapters.py:58(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:84(HTTPAdapter)
        1    0.000    0.000    0.000    0.000 python_utilities.py:1(<module>)
        2    0.000    0.000    0.000    0.000 models.py:577(prepare_hooks)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1284(_cookies_for_request)
        1    0.000    0.000    0.001    0.001 request.py:940(AbstractBasicAuthHandler)
        4    0.000    0.000    0.000    0.000 cookiejar.py:43(_debug)
        1    0.000    0.000    0.000    0.000 zipfile.py:765(_Tellable)
        2    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 response.py:273(release_conn)
        2    0.000    0.000    0.000    0.000 response.py:412(_error_catcher)
        2    0.000    0.000    0.000    0.000 queue.py:11(_init)
        2    0.000    0.000    0.000    0.000 poolmanager.py:289(_merge_pool_kwargs)
        1    0.000    0.000    0.000    0.000 compat.py:22(<module>)
        1    0.000    0.000    0.000    0.000 url.py:82(Url)
        2    0.000    0.000    0.000    0.000 timeout.py:185(start_connect)
        6    0.000    0.000    0.000    0.000 timeout.py:210(connect_timeout)
        1    0.000    0.000    0.000    0.000 timeout.py:19(Timeout)
        2    0.000    0.000    0.000    0.000 connection.py:394(_match_hostname)
        2    0.000    0.000    0.000    0.000 response.py:7(is_fp_closed)
        2    0.000    0.000    0.000    0.000 ssl_.py:204(resolve_ssl_version)
        2    0.000    0.000    0.000    0.000 message.py:181(is_multipart)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:70(close)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.000    0.000 errors.py:93(NonPrintableDefect)
        1    0.000    0.000    0.025    0.025 six.py:115(__getattr__)
        1    0.000    0.000    0.000    0.000 six.py:496(Module_six_moves_urllib)
        4    0.000    0.000    0.000    0.000 ssl.py:912(_check_connected)
        1    0.000    0.000    0.000    0.000 socket.py:546(SocketIO)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 davclient.py:51(DAVClient)
        1    0.000    0.000    0.000    0.000 __init__.py:991(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 rrule.py:1416(_rrulestr)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        1    0.000    0.000    0.000    0.000 tzinfo.py:18(memorized_timedelta)
        2    0.000    0.000    0.000    0.000 tokenize.py:109(maybe)
        2    0.000    0.000    0.000    0.000 _factories.py:13(__call__)
        2    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        1    0.000    0.000    0.000    0.000 tz.py:201(tzlocal)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
        1    0.000    0.000    0.000    0.000 prop.py:571(vWeekday)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 tempfile.py:766(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'tobytes' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 compat.py:11(is_type_checking)
        1    0.000    0.000    0.000    0.000 main.py:47(DotEnv)
        1    0.000    0.000    0.000    0.000 pref_service.py:5(PrefRemote)
        1    0.000    0.000    0.349    0.349 singleton.py:27(_construct)
        2    0.000    0.000    0.000    0.000 typing.py:629(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:787(Generic)
        2    0.000    0.000    0.000    0.000 typing.py:1175(__class_getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:1292(SupportsFloat)
        1    0.000    0.000    0.000    0.000 typing.py:1361(__new__)
        2    0.000    0.000    0.000    0.000 icalendar.py:1603(<lambda>)
        1    0.000    0.000    0.000    0.000 url.py:121(is_auth)
        1    0.000    0.000    0.000    0.000 base.py:89(VBase)
        1    0.000    0.000    0.000    0.000 base.py:450(Component)
        1    0.000    0.000    0.000    0.000 inspect.py:2590(BoundArguments)
        1    0.000    0.000    0.000    0.000 auth.py:95(__call__)
        1    0.000    0.000    0.000    0.000 auth.py:229(handle_redirect)
        1    0.000    0.000    0.000    0.000 intranges.py:6(<module>)
        1    0.000    0.000    0.000    0.000 models.py:60(RequestEncodingMixin)
        1    0.000    0.000    0.000    0.000 models.py:747(generate)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1976(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:457(BaseCookie)
        4    0.000    0.000    0.000    0.000 cookies.py:111(info)
        1    0.000    0.000    0.000    0.000 request.py:2110(FancyURLopener)
        1    0.000    0.000    0.000    0.000 zipfile.py:785(ZipExtFile)
        1    0.000    0.000    0.002    0.002 certs.py:14(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.000    0.000 langcyrillicmodel.py:31(<module>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:35(<module>)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:38(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:677(set_environ)
        2    0.000    0.000    0.000    0.000 utils.py:798(default_user_agent)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 sjisprober.py:36(SJISProber)
