         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      527    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      174    0.000    0.000    0.001    0.000 os.py:752(encode)
   111/88    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 status_codes.py:107(_init)
      470    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      105    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.001    0.001 hmac.py:4(<module>)
      210    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      126    0.000    0.000    0.001    0.000 caselessdict.py:44(__setitem__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      212    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      192    0.000    0.000    0.000    0.000 types.py:164(__get__)
      225    0.000    0.000    0.000    0.000 parser_tools.py:9(to_unicode)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      412    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       10    0.000    0.000    0.007    0.001 enum.py:389(_create_)
        2    0.000    0.000    0.136    0.068 connection.py:298(connect)
      105    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        8    0.000    0.000    0.001    0.000 caselessdict.py:30(__init__)
      168    0.000    0.000    0.001    0.000 os.py:697(__iter__)
       29    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      297    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
  270/268    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      238    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      198    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       62    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
      301    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.002    0.001 request.py:2458(getproxies_environment)
